Code,Company,City,Country
UXXU,UES INTERNATIONAL (HK) HOLDINGS LIMITED,SHANGHAI,China
UZUU,JSC UKRZALIZNYTSIA,KYIV,Ukraine
VAGU,VA GROUP LTD.,MOSCOW,Russian Federation
VAIU,VAISALA OYJ,Vantaa,Finland
VANU,VANHUB EQUIPMENT SERVICES LTD,KOWLOON,HK
VASU,VASI SHIPPING PTE LTD,Singapore,Singapore
VBKU,TRANSPORT VERBEKEN NV,DENDERMONDE,Belgium
VCCU,TC VANCONTAINER CO. LTD,Moscow,Russian Federation
VCYU,VÍTKOVICE CYLINDERS A.S.,Ostrava,Czech Republic
VDBU,VAN DEN BAN AUTOBANDEN BV,HELLEVOETSLUIS,Netherlands
VDCU,VAN DOORN CONTAINER SALES AND RENTALS,ROTTERDAM,Netherlands
VDLU,L.V.D. LEE EN ZONEN BV,DELFT,Netherlands
VDMU,SAMSKIP MULTIMODAL BV,GENEMUIDEN,Netherlands
VEGU,VERHOEK INTERNATIONAAL TRANSPORT BV,GENEMUIDEN,Netherlands
VERU,VERSUM MATERIALS LLC,TEMPE,United States
VESU,VEOLIA ENVIRONMENTAL SERVICES,Fermoy,Ireland
VEYU,ETS J VEYNAT SA,TRESSES,France
VEZU,BALTICA-TRANS LOGISTIC LLC,Saint-Petersburg,Russian Federation
VGKU,"LLC ""VAGON-K""",Krasnoyarsk,Russian Federation
VGLU,VASCO GLOBAL MARITIME LLC,BUR DUBAI,United Arab Emirates
VGNU,VIRTUAL GAS NETWORK,Krugersdorp,South Africa
VHTU,L & T B.V.,'s-Hertogenbosch,Netherlands
VIAU,VIASEA SHIPPING AS,Moss,Norway
VICU,CONTAINER SERVICES SOLENT LTD,SOUTHAMPTON SO30 2HE,United Kingdom
VINU,VOERMAN INTERNATIONAL BV,DEN HAAG,Netherlands
VKLU,EAST CONTAINER LINES,Vladivostok,Russian Federation
VLLU,VL LOGISTIC JOINT STOCK COMPANY,PRIMORSKIY REGION,Russian Federation
VLNU,VELAN SAS,LYON CEDEX 07,France
VMGU,VAKARU MEDIENOS GRUPE,Klaipėda,Lithuania
VMLU,VASCO MARITIME PTE LTD,Singapore,Singapore
VMSU,VTG RAIL EUROPE GMBH,Hamburg,Germany
VMXU,GRUPO TEVIAN SA DE CV,GENERAL ESCOBEDO,Mexico
VOCU,BERTHOLD VOLLERS GMBH,BREMEN,Germany
VODU,TANK MANAGEMENT A/S,OSLO,Norway
VOLU,VOLTA SHIPPING SERVICES L.L.C,Dubai,United Arab Emirates
VORU,OCEAN RACE 1973 SLU,ALICANTE,Spain
VOTU,VOLTA SHIPPING SERVICES L.L.C,Dubai,United Arab Emirates
VPLU,VAN PLUS CORPORATION,SEOUL,"Korea, Republic of"
VPTU,VPT KOMPRESSOREN GMBH,Remscheid,Germany
VRAU,NORDIC BULKERS AB,GOTHENBURG,Sweden
VREU,VREDEVELD INTERMODAL,HOOGERSMILDE,Netherlands
VRSU,"VLADREFTRANS CO, LTD",VLADIVOSTOK,Russian Federation
VRTU,SANOFI CHIMIE,ARRAS CEDEX 9,France
VSBU,V.S & B CONTAINERS LLC,DUBAI,United Arab Emirates
VSHU,VOLKER SCHILLING BAUSTOFFE U. TRANSPORTE,Harsefeld,Germany
VSLU,VSKY INT'L CORP,SHANGHAI,China
VSTU,V.S & B CONTAINERS LLC,DUBAI,United Arab Emirates
VTCU,VISBEEN B.V,NIEUWE TONGE,Netherlands
VTGU,VTG TANKTAINER GMBH,HAMBURG,Germany
VTIU,MOVE INTERMODAL SRL,NOVARA,Italy
VTNU,LIMITED LIABILITY COMPANY «TORGUNION»,Vladivostok,Russian Federation
VTSU,L. VAN TIEL TRANSPORT B.V.,Schiedam,Netherlands
VTZU,RUBIS ENERGIE,PARIS LA DEFENCE CEDEX,France
VVIU,GASCONTAINER JSC,NOVOSIBIRSK,Russian Federation
VVKU,VERVAEKE GROUP,SPIERE-HELKYN,Belgium
VWSU,VESTAS WIND SYSTEMS A/S,AARHUS,Denmark
VZRU,TRASPORTI VECCHI ZIRONI SRL,REGGIO EMILIA,Italy
WABU,HOYER GMBH,HAMBURG,Germany
WAEU,"WUHAN ASIA-EUROPE LOGISTICS CO.,LTD",Wuhan,China
WAFU,BOCS GMBH,Bremen,Germany
WAGU,WESTFALEN AG,MUENSTER,Germany
WARU,WARTSILA FINLAND OY,VAASA,Finland
WAUU,WAUTERS GLOBAL LOGISTICS NV,HAMME,Belgium
WAYU,"SHANGHAI WAYSMOS FINE CHEMICAL CO.,LTD.",SHANGHAI,China
WBFU,WINE & BRANDY FACTORY ALLIANCE-1892,CHERNYAKHOVSK,Russian Federation
WBPU,SEACUBE CONTAINERS LLC,"WOODCLIFF LAKE, N.J. 07677",United States
WBRU,BRUHN TRANSPORT EQUIPMENT GMBH & CO,LUBECK,Germany
WBTU,WILBERT TRADING BV,MAASSLUIS,Netherlands
WBXU,WILLBOX LTD,Southampton Hants,United Kingdom
WCGU,WELDSHIP INDUSTRIES,"BETHLEHEM, PA 18015",United States
WCHU,CW CONSULTING & TRADING E.U.,Krottendorf-Gaisfeld,Austria
WCIU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
WCSU,WCS SANTANGELO GMBH,HAMBURG,Germany
WCTU,WIENCONT CONTAINERTERMINAL GMBH,WIEN,Austria
WCXU,WEC LINES BV,ROTTERDAM,Netherlands
WDFU,ALLNEX AUSTRIA GMBH,WERNDORF,Austria
WDHU,TSIDEHAAN GMBH,Doerpen,Germany
WDSU,"DEKALB FARMERS MARKET, INC.",Decatur,United States
WEBU,MOBILBOXX EUROPE GMBH,HAMBURG,Germany
WECU,WEC LINES BV,ROTTERDAM,Netherlands
WEDU,CARU CONTAINERS BV,ROTTERDAM,Netherlands
WEIU,TRILLIUM FLOW TECHNOLOGIES,Saint Victoret,France
WEKU,WEST-EXPRESS,Rokytne village,Ukraine
WELU,WELCOR S.A.,Montevideo,Uruguay
WESU,WESTERN GLOBAL HOLDINGS LIMITED,BRISTOL BS37 7LD,United Kingdom
WETU,MOTOR CONTROLS INC.,Dallas,United States
WEWU,THIELMANN WEW GmbH,WEITEFELD,Germany
WEXU,WORLD EX LTD,Tbilisi,Georgia
WFHU,WATERFRONT CONTAINER LEASING CO INC.,"SAN FRANCISCO, CA 94109",United States
WFTU,WIN FAST LINE LTD,Qingdao,China
WGCU,SPEDITION BAUMLE DORMAGEN GMBH,DORMAGEN,Germany
WGRU,"WEIL GROUP RESOURCES, LLC","Richmond, VA 23220",United States
WGSU,WG SALARI BV,SITTARD,Netherlands
WHLU,WAN HAI LINES LTD,TAIPEI,"Taiwan, China"
WHSU,WAN HAI LINES LTD,TAIPEI,"Taiwan, China"
WICU,WICAB CONTAINER AB,Gothenburg,Sweden
WIDU,WICKS B.V,BOLSWARD,Netherlands
WIKU,HONEYTAK INTERMODAL LIMITED,Yantai,China
WIPU,PT.INDONESIA WEDA BAY INDUSTRIAL PARK,JAKARTA SELATAN DKI JAKARTA,Indonesia
WITU,LANXESS ORGANOMETALLICS GMBH,BERGKAMEN,Germany
WJSU,WOOJIN GLOBAL LOGISTICS,"GANGSEO-GU,SEOUL","Korea, Republic of"
WLGU,WAH LEE INDUSTRIAL CORP.,Kaohsiung,"Taiwan, China"
WLNU,WALLENIUS WILHELMSEN LOGISTICS AS,LYSAKER,Norway
WMGU,WAXING MOON GLOBAL LIMITED,TORTOLA,"Virgin Islands, British"
WMLU,WESTERMAN MULTIMODAL,Nieuwleusen,Netherlands
WNDU,WND (LIAO NING) HEAVY INDUSTRY CO LTD,Fushun,China
WNGU,WNG CONTAINER SERVICE CO LIMITED,Shanghai,China
WNYU,TRANSGAS,Vladivostok,Russian Federation
WOLU,"ANWOOD LOGISTICS SYSTEMS (SUZHOU) CO.,LTD",Suzhou China,China
WOSU,WEST OCEAN SHIPPING COMPANY LIMITED,CENTRAL,HK
WPSU,ALASKA STRUCTURES INC,LAS CRUCES,United States
WRXU,WEATHERHAVEN GLOBAL RESOURCES LTD,"Coquitlum, BC V3K 6W5",Canada
WSCU,CARU CONTAINERS BV,ROTTERDAM,Netherlands
WSDU,WIDE SHINE DEVELOPMENT INC,HONG KONG,HK
WSGU,PNS UK LTD,Wakefield,United Kingdom
WSIU,INTRA DEFENSE TECHNOLOGIES,Riyadh,Saudi Arabia
WSLU,WESTWOOD SHIPPING LINES,"PUYALLUP, WA 98374",United States
WSMU,WESTERN SALES & TESTING INC.,"AMARILLO, TX 79105",United States
WSNU,WILHELM STUHRENBERG GMBH & CO. KG,NORDENHAM,Germany
WSVU,NV TRUCK EN TANKCLEANING TACK NV,OOSTROZEBEKE,Belgium
WTHU,WICE LOGISTICS PCL,BANGKOK,Thailand
WTLU,WHITE LINE SHIPPING,DUBAI,United Arab Emirates
WTSU,WEIGAND-GRUNDSTUCKS GMBH & CO. KG,LENGENBOSTEL,Germany
WWLU,WALLENIUS WILHELMSEN LOGISTICS AS,LYSAKER,Norway
WYYU,"TEMC CO.,LTD.","Boeun-gun, Chungcheongbuk-do","Korea, Republic of"
XACU,ALPSCONTAINER,FREILASSING,Germany
XAGU,"XI'AN INTERNATIONAL PORT MULTIMODAL TRANSPORTATION CO.,LTD",Xian,China
XARU,OXYGEN & ARGON WORKS LTD,CAESAREA,Israel
XCTU,DIMC - DUBAI INTERNATIONAL MARINE CLUB,DUBAI,United Arab Emirates
XFCU,HUBEI SINOPRHORUS ELECTRONICS MATERIALS CO LTD,HUBEI,China
XHCU,CXIC,CHANGZHOU JIANGSU,China
XHIU,WEST OCEAN SHIPPING COMPANY LIMITED,CENTRAL,HK
XINU,TEXTAINER EQUIPMENT MANAGEMENT LTD,"HAMILTON, HM HX",Bermuda
XPAU,EXPANSION SAS,MERPINS,France
XPOU,XPO LOGISTICS,"DUBLIN, OH 43016",United States
XRCU,"XURONG CONTAINER SERVICE CO,LTD",SHANGHAI,China
XTRU,SEACO SRL,BRIDGETOWN BB11144,Barbados
XXLU,2XL NV,ZEEBRUGGE,Belgium
XYLU,HONG KONG XIANGYU SUPERCHAIN ASSET MANAGEMENT CO LTD,Hong Kong,HK
XYZU,"""AGRO CORN HOLDING"" LLC",Bilyaivka,Ukraine
YAKU,YAKUTSK CONTAINER AGENCY LLC,Moscow,Russian Federation
YBFU,"YELLOWBOX FIREWORKS, LLC","Ann Arbor, MI 48103",United States
YDSU,HAINING INDUSAIR ELECTRONICS CO LTD,"HAINING, ZHEJIANG",China
YDXU,PT INDONESIA GUANG CHING NICKEL AND STAINLESS STEEL IND,SOUTH JAKARTA,Indonesia
YEOU,YEOU FA CHEMICAL CO LTD,TAIPEI,"Taiwan, China"
YFCU,EVER FORTUNE LOGISTICS (HK) CO LTD,HUNG HOM-KOWLOON,HK
YGLU,YEMEN GULF LINE LTD,London,United Kingdom
YIMU,"JIANGSU YIMA ROAD CONSTRUCTION MACHINERY TECHNOLOGY CO.,LTD.",jiangyin,China
YKTU,KITO INTERNATIONAL SHIPPING INCORPORATED,MAHE,Seychelles
YMGU,CENTRE DE RENOVATION MARCEL DAGORT,SAINT-PIERRE & MIQUELON,France
YMLU,YANG MING MARINE TRANSPORT CORP.,KEELUNG,"Taiwan, China"
YMMU,YANG MING MARINE TRANSPORT CORP.,KEELUNG,"Taiwan, China"
YOIU,TRITON INTERNATIONAL LTD,"PURCHASE, NY 10577",United States
YOLU,"ONIDA CONTAINER LEASING CO., LTD.",KOWLOON,HK
YPRU,SITRA,IEPER,Belgium
YSDU,YASUDA LOGISTICS CORPORATION,TOKYO,Japan
YTBU,STAR OIL MAURITANIE,NOUAKCHOTT,Mauritania
YXEU,"YIWU TIMEX INDUSTRIAL INVESTMENT CO.,LTD",YIWU,China
ZAPU,GRUPA ZAKLADY AZOTOWE PULAWY SA,PULAWY,Poland
ZBLU,ZEBULUN CONTAINERS PTE LTD,Singapore,Singapore
ZCLU,ZIM INTEGRATED SHIPPING SERVICES LTD,HAIFA,Israel
ZCSU,ZIM INTEGRATED SHIPPING SERVICES LTD,HAIFA,Israel
ZDSU,TELESPAZIO FRANCE,TOULOUSE,France
ZEEU,ZEENNI S TRADING AGENCY,TRIPOLI,Lebanon
ZENU,"ZEN BOX CO.,LTD",WALNUT,United States
ZETU,ZETA SYSTEM SPA,MATERA,Italy
ZGLU,"SHANGHAI ZHONGGU LOGISTICS CO., LTD.",Shanghai,China
ZGRU,ZGROUP SAC,LIMA 36,Peru
ZHFU,ZHONG HAN YANTAI FERRY CO LTD,YANTAI,China
ZHHU,"XI'AN ZHONGHUI LIANHUA INDUSTRY CO., LTD",Xi'an,China
ZHLU,ZHENGHE LOGISTICS PTE LTD,SINGAPORE,Singapore
ZHRU,"F.U.H TRANS-STAR S.C ZBIGNIEW, HALINA ROKOSZ",OCIEKA,Poland
ZHWU,"ZHAOHUA SUPPLY CHAIN MANAGEMENT GROUP CO., LTD.",TIANJIN,China
ZIMU,ZIM INTEGRATED SHIPPING SERVICES LTD,HAIFA,Israel
ZIPU,TANK SERVICE INC,"HOUSTON, TX 77231 0417",United States
ZITU,SAFIM SRL,GENOVA,Italy
ZJWU,"XINJIANG TBEA GROUP LOGISTICS CO.,LTD.",Changji,China
ZMNU,"ZHE JIANG MORITA NEW MATERIALS CO.,LTD","Jinhua City,Wuyi County",China
ZMOU,ZIM INTEGRATED SHIPPING SERVICES LTD,HAIFA,Israel
ZMSU,ZEPPELIN MOBILE SYSTEME GMBH,MECKENBEUREN,Germany
ZMYU,TIAN HAO WAREHOUSING AND TRANSPORTATION,Hong Kong,HK
ZPLU,KONRAD ZIPPEL SPEDITEUR GMBH & CO. KG,HAMBURG,Germany
ZRGU,"CHINA GAS, HONGTONG CORPORATION",Shenzhen,China
ZSEU,"ZHENG SUN ENGINEERING CO,LTD",KAOHSIUNG CITY,"Taiwan, China"
ZSJU,CHINA CONTAINERIZED BULK LOGISTICS,Shanghai,China
ZSLU,"XINJIANG TBEA GROUP LOGISTICS CO.,LTD.",Changji,China
ZSTU,JSC SIBUR-TRANS,MOSCOW,Russian Federation
ZSYU,PETROCHINA NORTH CHINA CHEMICALS MARKETING COMPANY,Beijing,China
ZTKU,NIJMAN/ZEETANK INT TANKTRANSPORTEN BV,Spijkenisse,Netherlands
ZUZU,CARGOSTORE WORLDWIDE TRADING LIMITED,LONDON SW19 7QD,United Kingdom
ZVLU,OLEXIA GROUP S.A.,Luxembourg,Luxembourg
ZWFU,ZIM WORLD FREIGHT PVT LTD,MUMBAI,India
ZWIU,V+A ZWISSIG SA,SIERRE,Switzerland
ZYMU,ZIJDERHAND MOERKAPELLE BV,MOERKAPELLE,Netherlands
